title,author,score
Middlemarch,George Eliot,1566
Beloved,Toni Morrison,1143
Ulysses,James Joyce,996
To the Lighthouse,Virginia Woolf,815
In Search of Lost Time,Marcel Proust,741
Anna Karenina,Leo Tolstoy,729
War and Peace,Leo Tolstoy,562
Jane Eyre,Charlotte Brontë,541
Pride and Prejudice,Jane Austen,519
Madame Bovary,Gustave Flaubert,517
The Great Gatsby,F Scott Fitzgerald,516
Bleak House,Charles Dickens,512
Emma,Jane Austen,484
Mrs Dalloway,Virginia Woolf,477
Moby-Dick,Herman Melville,476
Nineteen Eighty-Four,George Orwell,475
One Hundred Years of Solitude,Gabriel García Márquez,464
Persuasion,Jane Austen,445
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,442
Wuthering Heights,Emily Brontë,414
The Portrait of a Lady,Henry James,404
Things Fall Apart,Chinua Achebe,366
Midnight's Children,Salman Rushdie,339
The Remains of the Day,Kazuo Ishiguro,326
Lolita,Vladimir Nabokov,319
Don Quixote,Miguel de Cervantes,304
The Trial,Franz Kafka,290
The Brothers Karamazov,Fyodor Dostoyevsky,272
Pale Fire,Vladimir Nabokov,268
Frankenstein,Mary Shelley,261
The Prime of Miss Jean Brodie,Muriel Spark,257
The God of Small Things,Arundhati Roy,256
David Copperfield,Charles Dickens,251
Wolf Hall,Hilary Mantel,244
Great Expectations,Charles Dickens,232
The Handmaid's Tale,Margaret Atwood,230
Invisible Man,Ralph Ellison,225
The Age of Innocence,Edith Wharton,223
Their Eyes Were Watching God,Zora Neale Hurston,194
Song of Solomon,Toni Morrison,184
Heart of Darkness,Joseph Conrad,182
The Magic Mountain,Thomas Mann,177
Housekeeping,Marilynne Robinson,175
Giovanni's Room,James Baldwin,172
The Golden Notebook,Doris Lessing,170
The Leopard,Giuseppe Tomasi di Lampedusa,159
Vanity Fair,William Makepeace Thackeray,155
The Metamorphosis,Franz Kafka,154
A Fine Balance,Rohinton Mistry,151
Wide Sargasso Sea,Jean Rhys,145
My Brilliant Friend,Elena Ferrante,142
The Golden Bowl,Henry James,138
The Transit of Venus,Shirley Hazzard,135
Orlando,Virginia Woolf,134
The Waves,Virginia Woolf,133
Mansfield Park,Jane Austen,131
The Sound and the Fury,William Faulkner,129
Disgrace,JM Coetzee,127
Never Let Me Go,Kazuo Ishiguro,126
Howards End,EM Forster,124
The Rings of Saturn,WG Sebald,123
Half of a Yellow Sun,Chimamanda Ngozi Adichie,120
White Teeth,Zadie Smith,120
The Good Soldier,Ford Madox Ford,118
The Color Purple,Alice Walker,113
The Master and Margarita,Mikhail Bulgakov,112
The Man Without Qualities,Robert Musil,108
Blood Meridian,Cormac McCarthy,104
Crime and Punishment,Fyodor Dostoevsky,104
Jude the Obscure,Thomas Hardy,104
Kindred,Octavia E Butler,102
Our Mutual Friend,Charles Dickens,102
Nervous Conditions,Tsitsi Dangarembga,101
Austerlitz,WG Sebald,101
Dracula,Bram Stoker,100
My Ántonia,Willa Cather,100
The Bluest Eye,Toni Morrison,100
The Rainbow,DH Lawrence,100
A House for Mr Biswas,VS Naipaul,98
Go Tell It on the Mountain,James Baldwin,98
Rebecca,Daphne du Maurier,98
Buddenbrooks,Thomas Mann,97
The End of the Affair,Graham Greene,97
A Farewell to Arms,Ernest Hemingway,97
The Talented Mr Ripley,Patricia Highsmith,96
The Turn of the Screw,Henry James,96
The Vegetarian,Han Kang,96
The Line of Beauty,Alan Hollinghurst,95
Ragtime,EL Doctorow,93
The Left Hand of Darkness,Ursula K Le Guin,90
Jacob's Room,Virginia Woolf,86
Life and Fate,Vasily Grossman,83
Sentimental Education,Gustave Flaubert,82
Invisible Cities,Italo Calvino,81
The Known World,Edward P Jones,81
The Return of the Native,Thomas Hardy,81
Pedro Páramo,Juan Rulfo,80
A Portrait of the Artist as a Young Man,James Joyce,79
Catch-22,Joseph Heller,79
The Go-Between,LP Hartley,79
The Road,Cormac McCarthy,79
Love in the Time of Cholera,Gabriel García Márquez,78
The Years,Annie Ernaux,78
The Lord of the Rings,J.R.R. Tolkien,78
To Kill a Mockingbird,Harper Lee,78
Light in August,William Faulkner,78
The Mirror and the Light,Hilary Mantel,76
Robinson Crusoe,Daniel Defoe,76
The Name of the Rose,Umberto Eco,76
The Summer Book,Tove Jansson,76
Barchester Towers,Anthony Trollope,75
A Dance to the Music of Time,Anthony Powell,75
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,75
The Blue Flower,Penelope Fitzgerald,75
How to Be Both,Ali Smith,74
Money,Martin Amis,74
American Pastoral,Philip Roth,72
Huckleberry Finn,Mark Twain,71
The Grapes of Wrath,John Steinbeck,71
Sense and Sensibility,Jane Austen,71
The House of Mirth,Edith Wharton,71
Infinite Jest,David Foster Wallace,70
