voter,position,title,author
Maggie O’Farrell,1,Old Filth Trilogy,Jane Gardam
Maggie O’Farrell,2,The Color Purple,Alice Walker
Maggie O’Farrell,3,North Woods,Daniel Mason
Maggie O’Farrell,4,Foster,Claire Keegan
Maggie O’Farrell,5,Jane Eyre,Charlotte Brontë
Maggie O’Farrell,6,The Patrick Melrose Novels,Edward St Aubyn
Maggie O’Farrell,7,Ulysses,James Joyce
Maggie O’Farrell,8,David Copperfield,Charles Dickens
Maggie O’Farrell,9,The Yellow Wallpaper,Charlotte Perkins Gilman
Maggie O’Farrell,10,The Private Memoirs and Confessions of a Justified Sinner,James Hogg
Freya Johnston,1,Anna Karenina,Leo Tolstoy
Freya Johnston,2,Madame Bovary,Gustave Flaubert
Freya Johnston,3,Middlemarch,George Eliot
Freya Johnston,4,Persuasion,Jane Austen
Freya Johnston,5,David Copperfield,Charles Dickens
Freya Johnston,6,Little Boy Lost,Marghanita Laski
Freya Johnston,7,Mrs. Palfrey at the Claremont,Elizabeth Taylor
Freya Johnston,8,Dr Gully,Elizabeth Jenkins
Freya Johnston,9,The Vicar of Wakefield,Oliver Goldsmith
Freya Johnston,10,Quartet in Autumn,Barbara Pym
Meg Rosoff,1,Catch-22,Joseph Heller
Meg Rosoff,2,A High Wind in Jamaica,Richard Hughes
Meg Rosoff,3,East of Eden,John Steinbeck
Meg Rosoff,4,Golden Hill,Francis Spufford
Meg Rosoff,5,Wolf Hall,Hilary Mantel
Meg Rosoff,6,The Mirror and the Light,Hilary Mantel
Meg Rosoff,7,Bring up the Bodies,Hilary Mantel
Meg Rosoff,8,Pride and Prejudice,Jane Austen
Meg Rosoff,9,Nineteen Eighty-Four,George Orwell
Meg Rosoff,10,The Long View,Elizabeth Jane Howard
Merve Emre,1,Middlemarch,George Eliot
Merve Emre,2,Lolita,Vladimir Nabokov
Merve Emre,3,Housekeeping,Marilynne Robinson
Merve Emre,4,Beloved,Toni Morrison
Merve Emre,5,The Plains,Gerald Murnane
Merve Emre,6,Ulysses,James Joyce
Merve Emre,7,To the Lighthouse,Virginia Woolf
Merve Emre,8,The Portrait of a Lady,Henry James
Merve Emre,9,Invisible Man,Ralph Ellison
